number,id,name,speed,positionX,positionY,timestamp,in,out,left_id,front_id,right_id,back_id,left_distance,front_distance,right_distance,back_distance
102,10,Car_7,4km/h,1325,335,1688952391898,,
103,11,Car_7,4km/h,1471,403,1688952391898,,
104,12,Car_7,167km/h,325,430,1688952391898,,
105,13,Motorcycle,0km/h,1530,436,1688952391898,,
106,14,Motorcycle,2km/h,1030,523,1688952391898,,
107,15,Motorcycle,7km/h,955,483,1688952391898,,
108,16,Motorcycle,7km/h,745,939,1688952391898,,
109,17,Motorcycle,1km/h,1151,430,1688952391898,,
110,18,Motorcycle,3km/h,1362,582,1688952391898,,
111,19,Motorcycle,1km/h,1049,789,1688952391898,,
112,20,Car_more_7,1km/h,1293,339,1688952391898,,
113,21,Motorcycle,1km/h,1470,491,1688952391898,,
114,22,Car_7,7km/h,718,223,1688952391898,,
115,23,Motorcycle,1km/h,1243,566,1688952391898,,
116,24,Motorcycle,,1313,186,1688952391898,,
117,1,Car_7,4km/h,1433,278,1688952391932,,
118,2,Car_7,4km/h,1353,331,1688952391932,,
119,3,Motorcycle,2km/h,1283,444,1688952391932,,
120,4,Car_7,3km/h,1532,241,1688952391932,,
121,5,Car_7,3km/h,1536,228,1688952391932,,
122,6,Car_7,4km/h,1575,314,1688952391932,,
123,7,Car_7,1km/h,1661,298,1688952391932,,
124,8,Motorcycle,2km/h,1582,389,1688952391932,,
125,9,Car_7,4km/h,169,223,1688952391932,,
126,10,Car_7,3km/h,1325,335,1688952391932,,
127,11,Car_7,4km/h,1472,403,1688952391932,,
128,12,Car_7,155km/h,309,428,1688952391932,,
129,13,Motorcycle,1km/h,1530,435,1688952391932,,
130,14,Motorcycle,1km/h,1030,523,1688952391932,,
131,15,Motorcycle,6km/h,955,483,1688952391932,,
132,16,Motorcycle,6km/h,745,939,1688952391932,,
133,17,Motorcycle,1km/h,1151,430,1688952391932,,
134,18,Motorcycle,2km/h,1362,582,1688952391932,,
135,19,Motorcycle,1km/h,1049,789,1688952391932,,
136,20,Car_more_7,1km/h,1293,339,1688952391932,,
137,21,Motorcycle,1km/h,1470,491,1688952391932,,
138,22,Car_7,7km/h,719,223,1688952391932,,
139,23,Motorcycle,1km/h,1243,566,1688952391932,,
140,24,Motorcycle,21km/h,1316,187,1688952391932,,
141,1,Car_7,4km/h,1432,278,1688952391965,,
142,2,Car_7,5km/h,1352,330,1688952391965,,
143,3,Motorcycle,2km/h,1283,444,1688952391965,,
144,4,Car_7,3km/h,1532,241,1688952391965,,
145,5,Car_7,3km/h,1536,228,1688952391965,,
146,6,Car_7,4km/h,1575,314,1688952391965,,
147,7,Car_7,2km/h,1661,299,1688952391965,,
148,8,Motorcycle,2km/h,1582,389,1688952391965,,
149,9,Car_7,5km/h,168,224,1688952391965,,
150,10,Car_7,3km/h,1325,335,1688952391965,,
151,11,Car_7,5km/h,1471,403,1688952391965,,
152,12,Car_7,193km/h,366,424,1688952391965,,
153,13,Motorcycle,2km/h,1530,436,1688952391965,,
154,14,Motorcycle,3km/h,1029,522,1688952391965,,
155,15,Motorcycle,6km/h,954,482,1688952391965,,
156,16,Motorcycle,7km/h,747,939,1688952391965,,
157,17,Motorcycle,1km/h,1151,430,1688952391965,,
158,18,Motorcycle,3km/h,1362,581,1688952391965,,
159,19,Motorcycle,1km/h,1049,789,1688952391965,,
160,20,Car_more_7,1km/h,1293,339,1688952391965,,
161,21,Motorcycle,1km/h,1470,491,1688952391965,,
162,22,Car_7,8km/h,718,225,1688952391965,,
163,23,Motorcycle,1km/h,1243,566,1688952391965,,
164,24,Motorcycle,24km/h,1320,186,1688952391965,,
165,25,Car_7,,514,392,1688952391965,,
166,1,Car_7,4km/h,1431,278,1688952391998,,
167,2,Car_7,4km/h,1352,330,1688952391998,,
168,3,Motorcycle,1km/h,1283,444,1688952391998,,
169,4,Car_7,3km/h,1533,241,1688952391998,,
170,5,Car_7,3km/h,1535,228,1688952391998,,
171,6,Car_7,4km/h,1574,314,1688952391998,,
172,7,Car_7,1km/h,1661,299,1688952391998,,
173,8,Motorcycle,1km/h,1582,389,1688952391998,,
174,9,Car_7,4km/h,168,224,1688952391998,,
175,10,Car_7,3km/h,1324,335,1688952391998,,
176,11,Car_7,4km/h,1471,403,1688952391998,,
177,12,Car_7,184km/h,385,422,1688952391998,,
178,13,Motorcycle,1km/h,1530,436,1688952391998,,
179,14,Motorcycle,3km/h,1030,522,1688952391998,,
180,15,Motorcycle,6km/h,954,483,1688952391998,,
181,16,Motorcycle,7km/h,748,939,1688952391998,,
182,17,Motorcycle,0km/h,1151,430,1688952391998,,
183,18,Motorcycle,2km/h,1362,581,1688952391998,,
184,19,Motorcycle,0km/h,1049,789,1688952391998,,
185,20,Car_more_7,0km/h,1293,339,1688952391998,,
186,21,Motorcycle,1km/h,1470,492,1688952391998,,
187,22,Car_7,7km/h,718,225,1688952391998,,
188,23,Motorcycle,0km/h,1243,566,1688952391998,,
189,24,Motorcycle,20km/h,1322,186,1688952391998,,
190,25,Car_7,15km/h,516,391,1688952391998,,
191,1,Car_7,4km/h,1431,277,1688952392032,,
192,2,Car_7,4km/h,1353,330,1688952392032,,
193,3,Motorcycle,2km/h,1283,445,1688952392032,,
194,4,Car_7,3km/h,1533,241,1688952392032,,
195,5,Car_7,3km/h,1536,228,1688952392032,,
196,6,Car_7,4km/h,1574,315,1688952392032,,
197,7,Car_7,2km/h,1660,299,1688952392032,,
198,8,Motorcycle,1km/h,1582,389,1688952392032,,
199,9,Car_7,4km/h,168,225,1688952392032,,
200,10,Car_7,3km/h,1324,335,1688952392032,,
201,11,Car_7,4km/h,1471,404,1688952392032,,
202,12,Car_7,167km/h,392,422,1688952392032,,
203,13,Motorcycle,1km/h,1530,436,1688952392032,,
204,14,Motorcycle,3km/h,1029,522,1688952392032,,
205,15,Motorcycle,5km/h,954,483,1688952392032,,
206,16,Motorcycle,6km/h,748,939,1688952392032,,
207,17,Motorcycle,1km/h,1151,429,1688952392032,,
208,18,Motorcycle,2km/h,1362,581,1688952392032,,
209,19,Motorcycle,0km/h,1049,789,1688952392032,,
210,20,Car_more_7,0km/h,1293,339,1688952392032,,
211,21,Motorcycle,1km/h,1470,492,1688952392032,,
212,22,Car_7,6km/h,718,225,1688952392032,,
213,23,Motorcycle,0km/h,1243,566,1688952392032,,
214,24,Motorcycle,15km/h,1322,186,1688952392032,,
215,25,Car_7,7km/h,516,391,1688952392032,,
216,1,Car_7,4km/h,1432,277,1688952392065,,
217,2,Car_7,4km/h,1353,330,1688952392065,,
218,3,Motorcycle,2km/h,1283,446,1688952392065,,
219,4,Car_7,2km/h,1533,241,1688952392065,,
220,5,Car_7,4km/h,1535,228,1688952392065,,
221,6,Car_7,4km/h,1574,315,1688952392065,,
222,7,Car_7,2km/h,1660,299,1688952392065,,
223,8,Motorcycle,1km/h,1582,389,1688952392065,,
224,9,Car_7,4km/h,168,225,1688952392065,,
225,10,Car_7,3km/h,1323,335,1688952392065,,
226,11,Car_7,4km/h,1471,404,1688952392065,,
227,12,Car_7,160km/h,406,414,1688952392065,,
228,13,Motorcycle,1km/h,1530,436,1688952392065,,
229,14,Motorcycle,4km/h,1030,522,1688952392065,,
230,15,Motorcycle,5km/h,954,483,1688952392065,,
231,16,Motorcycle,7km/h,745,939,1688952392065,,
232,17,Motorcycle,1km/h,1151,429,1688952392065,,
233,18,Motorcycle,2km/h,1362,581,1688952392065,,
234,19,Motorcycle,0km/h,1049,789,1688952392065,,
235,20,Car_more_7,0km/h,1293,339,1688952392065,,
236,21,Motorcycle,1km/h,1470,492,1688952392065,,
237,22,Car_7,9km/h,716,229,1688952392065,,
238,23,Motorcycle,0km/h,1243,566,1688952392065,,
239,24,Motorcycle,21km/h,1328,182,1688952392065,,
240,25,Car_7,21km/h,522,395,1688952392065,,
241,1,Car_7,4km/h,1433,277,1688952392098,,
242,3,Motorcycle,2km/h,1283,446,1688952392098,,
243,4,Car_7,3km/h,1533,240,1688952392098,,
244,5,Car_7,3km/h,1535,228,1688952392098,,
245,6,Car_7,3km/h,1574,315,1688952392098,,
246,7,Car_7,1km/h,1660,299,1688952392098,,
247,8,Motorcycle,1km/h,1582,389,1688952392098,,
248,9,Car_7,4km/h,167,225,1688952392098,,
249,10,Car_7,3km/h,1323,335,1688952392098,,
250,11,Car_7,3km/h,1471,404,1688952392098,,
251,12,Car_7,160km/h,424,399,1688952392098,,
252,13,Motorcycle,1km/h,1530,436,1688952392098,,
253,14,Motorcycle,3km/h,1030,522,1688952392098,,
254,15,Motorcycle,5km/h,953,482,1688952392098,,
255,16,Motorcycle,7km/h,746,938,1688952392098,,
256,17,Motorcycle,1km/h,1151,429,1688952392098,,
257,18,Motorcycle,1km/h,1362,581,1688952392098,,
258,19,Motorcycle,1km/h,1048,789,1688952392098,,
259,20,Car_more_7,0km/h,1293,339,1688952392098,,
260,21,Motorcycle,1km/h,1470,492,1688952392098,,
261,22,Car_7,12km/h,715,235,1688952392098,,
262,23,Motorcycle,1km/h,1243,565,1688952392098,,
263,24,Motorcycle,28km/h,1337,182,1688952392098,,
264,25,Car_7,41km/h,537,391,1688952392098,,
265,1,Car_7,5km/h,1434,277,1688952392132,,
266,3,Motorcycle,2km/h,1283,446,1688952392132,,
267,4,Car_7,2km/h,1533,240,1688952392132,,
268,5,Car_7,3km/h,1536,228,1688952392132,,
269,6,Car_7,3km/h,1574,315,1688952392132,,
270,7,Car_7,2km/h,1659,300,1688952392132,,
271,8,Motorcycle,1km/h,1582,388,1688952392132,,
272,9,Car_7,4km/h,167,226,1688952392132,,
273,10,Car_7,3km/h,1322,335,1688952392132,,
274,11,Car_7,3km/h,1471,404,1688952392132,,
275,12,Car_7,151km/h,431,394,1688952392132,,
276,13,Motorcycle,1km/h,1530,436,1688952392132,,
277,14,Motorcycle,4km/h,1029,521,1688952392132,,
278,15,Motorcycle,5km/h,953,482,1688952392132,,
279,16,Motorcycle,7km/h,746,938,1688952392132,,
280,17,Motorcycle,1km/h,1151,430,1688952392132,,
281,18,Motorcycle,1km/h,1362,581,1688952392132,,
282,19,Motorcycle,1km/h,1048,789,1688952392132,,
283,20,Car_more_7,0km/h,1293,339,1688952392132,,
284,21,Motorcycle,1km/h,1470,491,1688952392132,,
285,22,Car_7,12km/h,715,238,1688952392132,,
286,23,Motorcycle,1km/h,1243,565,1688952392132,,
287,24,Motorcycle,27km/h,1340,181,1688952392132,,
288,25,Car_7,40km/h,542,389,1688952392132,,
289,1,Car_7,4km/h,1434,277,1688952392165,,
290,3,Motorcycle,2km/h,1283,445,1688952392165,,
291,4,Car_7,2km/h,1533,240,1688952392165,,
292,5,Car_7,4km/h,1536,227,1688952392165,,
293,6,Car_7,3km/h,1574,315,1688952392165,,
294,7,Car_7,2km/h,1659,300,1688952392165,,
295,8,Motorcycle,1km/h,1582,388,1688952392165,,
296,9,Car_7,4km/h,168,226,1688952392165,,
297,10,Car_7,3km/h,1323,335,1688952392165,,
298,11,Car_7,3km/h,1471,404,1688952392165,,
299,12,Car_7,144km/h,440,389,1688952392165,,
300,13,Motorcycle,1km/h,1530,436,1688952392165,,
301,14,Motorcycle,3km/h,1029,521,1688952392165,,
302,15,Motorcycle,5km/h,954,481,1688952392165,,
303,16,Motorcycle,8km/h,746,934,1688952392165,,
304,17,Motorcycle,1km/h,1151,430,1688952392165,,
305,18,Motorcycle,1km/h,1362,581,1688952392165,,
306,19,Motorcycle,1km/h,1048,789,1688952392165,,
307,20,Car_more_7,0km/h,1293,339,1688952392165,,
308,21,Motorcycle,2km/h,1470,492,1688952392165,,
309,22,Car_7,12km/h,715,239,1688952392165,,
310,23,Motorcycle,1km/h,1242,565,1688952392165,,
311,24,Motorcycle,27km/h,1343,178,1688952392165,,
312,25,Car_7,42km/h,547,383,1688952392165,,
313,1,Car_7,4km/h,1434,276,1688952392198,,
