number,id,name,speed,positionX,positionY,timestamp,lane,in,out,left_id,front_id,right_id,back_id,left_distance,front_distance,right_distance,back_distance
122,4,car,9km/h,470,378,1688833121779
123,5,person,7km/h,1066,568,1688833121779
124,6,bicycle,2km/h,1060,599,1688833121779
125,7,traffic light,1km/h,587,322,1688833121779
126,8,car,95km/h,996,426,1688833121779
127,9,car,0km/h,1240,516,1688833121779
128,10,traffic light,1km/h,310,319,1688833121779
129,11,traffic light,4km/h,1037,75,1688833121779
130,12,car,50km/h,522,500,1688833121779
131,13,truck,37km/h,51,521,1688833121779
132,2,motorcycle,2km/h,1058,599,1688833121812
133,5,person,8km/h,1069,570,1688833121812
134,6,bicycle,2km/h,1060,599,1688833121812
135,7,traffic light,1km/h,587,322,1688833121812
136,8,car,98km/h,1015,428,1688833121812
137,9,car,0km/h,1240,516,1688833121812
138,10,traffic light,1km/h,310,319,1688833121812
139,11,traffic light,4km/h,1037,75,1688833121812
140,12,car,51km/h,513,502,1688833121812
141,13,truck,36km/h,48,520,1688833121812
142,26,car,,697,414,1688833121812
143,2,motorcycle,4km/h,1060,599,1688833121845
144,5,person,9km/h,1071,569,1688833121845
145,6,bicycle,2km/h,1060,599,1688833121845
146,7,traffic light,2km/h,586,321,1688833121845
147,8,car,98km/h,1029,429,1688833121845
148,9,car,0km/h,1240,516,1688833121845
149,10,traffic light,1km/h,311,319,1688833121845
150,11,traffic light,4km/h,1036,75,1688833121845
151,12,car,52km/h,503,505,1688833121845
152,26,car,21km/h,700,415,1688833121845
153,2,motorcycle,3km/h,1060,599,1688833121879
154,5,person,9km/h,1068,568,1688833121879
155,6,bicycle,1km/h,1060,599,1688833121879
156,7,traffic light,2km/h,587,321,1688833121879
157,8,car,99km/h,1046,430,1688833121879
158,9,car,0km/h,1240,516,1688833121879
159,10,traffic light,1km/h,311,319,1688833121879
160,11,traffic light,4km/h,1036,75,1688833121879
161,12,car,53km/h,493,507,1688833121879
162,26,car,24km/h,704,415,1688833121879
163,2,motorcycle,4km/h,1060,598,1688833121912
164,5,person,10km/h,1065,568,1688833121912
165,6,bicycle,2km/h,1059,600,1688833121912
166,7,traffic light,2km/h,587,321,1688833121912
167,8,car,99km/h,1060,432,1688833121912
168,9,car,0km/h,1240,516,1688833121912
169,10,traffic light,1km/h,311,320,1688833121912
170,11,traffic light,4km/h,1036,75,1688833121912
171,12,car,54km/h,484,508,1688833121912
172,26,car,20km/h,706,415,1688833121912
173,2,motorcycle,3km/h,1060,598,1688833121945
174,5,person,10km/h,1066,569,1688833121945
175,6,bicycle,2km/h,1060,600,1688833121945
176,7,traffic light,2km/h,586,322,1688833121945
177,8,car,100km/h,1077,434,1688833121945
178,9,car,0km/h,1240,516,1688833121945
179,10,traffic light,1km/h,311,320,1688833121945
180,11,traffic light,4km/h,1035,75,1688833121945
181,12,car,55km/h,474,511,1688833121945
182,26,car,16km/h,707,415,1688833121945
183,2,motorcycle,3km/h,1060,598,1688833121979
184,5,person,9km/h,1066,569,1688833121979
185,6,bicycle,2km/h,1059,600,1688833121979
186,7,traffic light,2km/h,586,322,1688833121979
187,8,car,99km/h,1091,435,1688833121979
188,9,car,0km/h,1240,516,1688833121979
189,10,traffic light,1km/h,311,320,1688833121979
190,11,traffic light,4km/h,1036,75,1688833121979
191,12,car,55km/h,464,513,1688833121979
192,26,car,15km/h,708,416,1688833121979
193,32,car,,465,513,1688833121979
194,2,motorcycle,2km/h,1060,598,1688833122012
195,5,person,10km/h,1068,569,1688833122012
196,6,bicycle,3km/h,1060,600,1688833122012
197,7,traffic light,2km/h,586,322,1688833122012
198,8,car,102km/h,1113,437,1688833122012
199,9,car,0km/h,1240,516,1688833122012
200,10,traffic light,1km/h,310,320,1688833122012
201,11,traffic light,4km/h,1035,75,1688833122012
202,12,car,56km/h,454,515,1688833122012
203,26,car,14km/h,709,417,1688833122012
204,32,car,70km/h,455,516,1688833122012
205,2,motorcycle,3km/h,1060,599,1688833122045
206,5,person,11km/h,1063,571,1688833122045
207,6,bicycle,3km/h,1059,600,1688833122045
208,7,traffic light,2km/h,587,323,1688833122045
209,8,car,103km/h,1132,441,1688833122045
210,9,car,0km/h,1240,516,1688833122045
211,10,traffic light,1km/h,310,320,1688833122045
212,11,traffic light,4km/h,1035,75,1688833122045
213,12,car,56km/h,445,516,1688833122045
214,26,car,13km/h,710,417,1688833122045
215,32,car,72km/h,444,518,1688833122045
216,2,motorcycle,2km/h,1060,599,1688833122079
217,5,person,11km/h,1061,571,1688833122079
218,6,bicycle,3km/h,1059,600,1688833122079
219,7,traffic light,2km/h,587,323,1688833122079
220,8,car,105km/h,1151,441,1688833122079
221,9,car,0km/h,1240,515,1688833122079
222,10,traffic light,1km/h,311,320,1688833122079
223,11,traffic light,4km/h,1036,76,1688833122079
224,26,car,12km/h,710,418,1688833122079
225,32,car,69km/h,435,520,1688833122079
226,2,motorcycle,2km/h,1060,599,1688833122112
227,5,person,11km/h,1059,571,1688833122112
228,6,bicycle,3km/h,1060,599,1688833122112
229,7,traffic light,2km/h,587,322,1688833122112
230,8,car,104km/h,1166,443,1688833122112
231,9,car,0km/h,1240,515,1688833122112
232,10,traffic light,1km/h,311,320,1688833122112
233,11,traffic light,4km/h,1036,76,1688833122112
234,26,car,11km/h,711,419,1688833122112
235,32,car,70km/h,424,522,1688833122112
236,33,traffic light,,854,284,1688833122112
237,2,motorcycle,2km/h,1060,599,1688833122145
238,5,person,12km/h,1065,569,1688833122145
239,6,bicycle,3km/h,1060,599,1688833122145
240,7,traffic light,2km/h,587,322,1688833122145
241,8,car,105km/h,1182,445,1688833122145
242,9,car,0km/h,1240,514,1688833122145
243,10,traffic light,1km/h,311,319,1688833122145
244,11,traffic light,4km/h,1035,75,1688833122145
245,26,car,10km/h,711,419,1688833122145
246,32,car,71km/h,413,522,1688833122145
247,33,traffic light,0km/h,854,284,1688833122145
248,34,traffic light,,1259,372,1688833122145
249,2,motorcycle,2km/h,1060,599,1688833122179
250,4,car,,488,383,1688833122179
251,5,person,13km/h,1061,571,1688833122179
252,6,bicycle,3km/h,1060,600,1688833122179
253,7,traffic light,2km/h,587,322,1688833122179
254,9,car,0km/h,1240,514,1688833122179
255,10,traffic light,2km/h,311,318,1688833122179
256,11,traffic light,4km/h,1035,75,1688833122179
257,26,car,11km/h,712,421,1688833122179
258,32,car,72km/h,401,522,1688833122179
259,33,traffic light,0km/h,854,284,1688833122179
260,34,traffic light,6km/h,1259,371,1688833122179
261,2,motorcycle,2km/h,1060,599,1688833122212
262,4,car,15km/h,490,384,1688833122212
263,5,person,13km/h,1060,571,1688833122212
264,6,bicycle,3km/h,1059,600,1688833122212
265,7,traffic light,2km/h,587,322,1688833122212
266,8,car,,1216,443,1688833122212
267,9,car,0km/h,1240,514,1688833122212
268,10,traffic light,2km/h,311,319,1688833122212
269,11,traffic light,4km/h,1036,75,1688833122212
270,26,car,10km/h,713,421,1688833122212
271,32,car,73km/h,390,524,1688833122212
272,33,traffic light,2km/h,855,284,1688833122212
273,34,traffic light,3km/h,1259,371,1688833122212
274,2,motorcycle,2km/h,1060,598,1688833122245
